face_card,blind_card,total,удфча_нуль,удфча_один,добыча,еда
10,10,20,10,10,20,0,fight
11,10,27,4,10,14,1,bread
8,6,18,11,4,15,-1,gone
10,6,26,7,2,11,1,bread
9,4,24,7,10,17,1,bread
6,10,24,6,8,14,1,bread
3,8,21,2,8,10,1,bread
10,9,19,7,10,17,-1,gone
2,10,21,10,8,18,-1,gone
2,3,22,8,10,18,1,bread
5,2,20,10,2,12,-1,gone
11,3,21,7,3,10,-1,gone
6,5,21,8,10,18,-1,gone
11,11,32,10,5,15,1,bread
10,7,17,10,10,20,1,bread
6,2,24,8,3,11,1,bread
6,10,18,8,10,18,0,fight
9,10,19,9,2,11,-1,gone
10,4,22,3,9,12,1,bread
10,3,26,6,7,13,1,bread
9,7,19,5,7,12,-1,gone
10,10,20,2,7,16,-1,gone
10,10,20,3,6,16,-1,gone
6,10,20,10,10,20,0,fight
10,10,20,10,10,20,0,fight
6,7,22,3,10,13,1,bread
4,6,21,4,7,11,1,bread
10,10,20,10,10,20,0,fight
