face_card,blind_card,total,удфча_нуль,удфча_один,добыча,еда
11,4,25,6,5,11,1
2,10,22,2,10,12,1
6,10,24,4,10,14,1
3,4,21,10,4,14,1
5,8,20,6,6,12,-1
10,3,23,8,9,17,1
10,7,17,6,7,13,-1
2,2,25,6,9,15,1
10,6,27,6,4,10,1
2,3,19,9,10,19,0
6,9,24,4,6,10,1
5,9,21,9,2,11,1
11,11,26,8,4,12,1
10,4,25,9,11,20,1
8,3,18,7,10,17,-1
8,5,18,10,10,20,1
10,3,18,10,9,19,1
10,10,20,10,6,16,-1
8,9,17,8,10,18,1
6,10,23,8,10,18,1
3,4,19,6,6,12,-1
4,6,19,10,10,20,1
10,5,25,11,11,22,1
10,3,18,6,10,16,-1
9,7,26,10,2,12,1
2,3,25,10,9,19,1
3,2,24,6,11,17,1
8,5,23,4,7,11,1
10,10,20,9,11,20,0
2,5,12,10,7,17,1
10,11,25,3,10,13,1
10,4,21,11,3,14,1
5,10,22,8,7,15,1
11,7,18,9,10,19,1
9,7,25,2,10,12,1
4,6,20,10,10,20,0
10,10,20,2,4,10,-1
10,9,19,11,10,21,1
6,10,19,10,2,12,-1
11,3,20,9,10,19,-1
5,8,21,10,10,20,-1
8,3,18,10,10,20,1
10,10,20,7,9,16,-1
6,8,19,6,6,12,-1
10,10,20,6,10,16,-1
8,4,20,10,4,14,-1
9,10,19,3,7,10,-1
10,9,19,8,2,10,-1
3,4,13,10,4,14,1
2,10,20,3,2,12,-1
6,10,18,8,11,19,1
4,8,23,10,3,13,1
4,7,20,10,11,21,1
10,10,20,11,6,17,-1
7,9,26,5,10,15,1
7,7,24,10,2,12,1
10,3,24,3,10,13,1
10,2,22,10,11,21,1
10,10,20,10,9,19,-1
6,10,26,9,10,19,1
8,10,18,10,8,18,0
9,4,18,10,10,20,1
10,11,29,9,9,18,1
10,10,20,7,10,17,-1
4,10,21,7,7,14,-1
11,8,19,2,8,10,-1
8,10,18,4,7,11,-1
2,6,18,6,5,11,-1
3,10,24,9,8,17,1
2,8,18,10,10,20,1
6,5,17,4,8,12,-1
10,9,19,10,10,20,1
10,9,19,8,2,10,-1
2,6,25,10,2,12,1
10,11,32,10,10,20,1
10,7,17,11,7,18,1
8,5,20,5,7,12,-1
7,2,19,10,10,20,1
8,10,18,7,10,17,-1
11,9,20,9,10,19,-1
2,10,20,3,2,8,-1
6,10,21,2,7,12,-1
8,2,20,10,3,13,-1
8,9,17,6,3,18,1
6,7,23,10,7,17,1
10,9,19,10,8,18,-1
11,10,28,10,11,21,1
7,10,17,2,11,13,-1
2,10,22,7,5,12,1
10,10,20,10,7,17,-1
10,7,17,10,6,16,-1
3,10,23,10,2,12,1
2,5,18,3,4,12,-1
10,2,17,7,2,19,1
6,3,20,10,10,20,0
8,3,18,4,3,17,-1
8,10,18,9,4,13,-1
10,10,20,6,5,11,-1
4,9,20,8,10,18,-1
10,8,18,10,6,16,-1
-14,5,25,10,8,18,1
7,10,17,6,10,16,-1
5,7,22,11,10,21,1
10,4,22,9,9,18,1
3,10,23,10,6,16,1
8,4,22,10,8,18,1
11,10,31,3,2,15,1
2,7,19,11,10,21,1
3,10,23,4,7,11,1
10,10,20,3,6,17,-1
10,10,20,10,11,21,1
6,10,24,7,9,16,1
10,6,26,7,10,17,1
11,10,30,3,10,13,1
6,4,21,6,4,10,1
8,10,18,5,11,16,-1
10,10,20,11,10,21,1
10,4,26,4,2,16,1
7,10,17,10,10,20,1
2,10,18,9,6,15,-1
3,2,19,9,5,14,-1
3,11,25,8,10,18,1
10,2,18,8,10,18,0
8,4,22,11,8,19,1
11,8,19,8,3,11,-1
2,4,20,11,6,17,-1
10,10,20,8,4,12,-1
2,10,22,3,7,10,1
2,10,22,9,7,16,1
